lokacija,sobno,nadstropje,leto,velikost,cena
KRANJ,3-sobno,2,1700,"85,13 ","112.000,00"
KRANJ,3-sobno,3,2009,"91,70 ","242.000,00"
KRANJ,4-sobno,M,2021,"92,20 ","159.990,00"
KRANJ,4-sobno,M,2021,"92,40 ","159.900,00"
KRANJ,3-sobno,4,1985,"94,00 ","230.000,00"
KRANJ,5 in večsobno,P,1987,"105,70 ","362.000,00"
KRANJ,4-sobno,3,1982,"106,80 ","289.000,00"
KRANJ,4-sobno,4,2008,"128,70 ","450.000,00"
KRANJ,4-sobno,3,2021,"141,60 ","345.960,00"
KRANJ,3-sobno,M,1936,"146,50 ","149.000,00"
KRANJ,4-sobno,4,2008,"227,70 ","450.000,00"
"KRANJ, CENTER",2-sobno,P,1900,"47,00 ","118.000,00"
"KRANJ, CENTER","2,5-sobno",P,1938,"55,10 ","135.000,00"
"KRANJ, CENTER MESTA","2,5-sobno",1,1800,"60,00 ","155.000,00"
"KRANJ, DRULOVKA",3-sobno,1,2004,"85,70 ","245.000,00"
"KRANJ, DRULOVKA",3-sobno,1,2004,"85,70 ","245.000,00"
"KRANJ, GOLNIK",3-sobno,1,1955,"52,20 ","186.000,00"
"KRANJ, HUJE",2-sobno,VP,1903,"68,50 ","92.000,00"
"KRANJ, LEVSTIKOVA ULICA","4,5-sobno",3,2010,"227,73 ","445.000,00"
"KRANJ, OKOLICA",5 in večsobno,1,1910,"168,50 ","199.000,00"
"KRANJ, OREHEK",1-sobno,P,1938,"44,40 ","89.000,00"
"KRANJ, PLANINA",2-sobno,1,1979,"61,00 ","222.000,00"
"KRANJ, PLANINA",2-sobno,P,1979,"65,80 ","198.800,00"
"KRANJ, PLANINA",3-sobno,7,1977,"93,00 ","265.000,00"
"KRANJ, PLANINA 1",1-sobno,2,1979,"35,80 ","131.000,00"
"KRANJ, PLANINA 1",3-sobno,VP,1975,"80,60 ","197.000,00"
"KRANJ, PLANINA I.",2-sobno,1,1978,"61,00 ","222.000,00"
"KRANJ, PLANINA II",1-sobno,3,1981,"35,00 ","125.000,00"
"KRANJ, PLANINA II",2-sobno,2,1982,"74,93 ","199.000,00"
"KRANJ, PRITLIČNO 2, 5 SS, 53 M2, PRILAGOJEN DOSTOP ZA GIBALN...","2,5-sobno",P,1964,"53,00 ","130.000,00"
"KRANJ, SAVSKA CESTA",2-sobno,1,1927,"41,90 ","109.990,00"
"KRANJ, SOTOČJE",3-sobno,P,2009,"87,40 ","260.000,00"
"KRANJ, SOTOČJE",3-sobno,1,2009,"91,66 ","276.000,00"
"KRANJ, STRAŽIŠČE",2-sobno,P,1964,"53,00 ","133.000,00"
"KRANJ, ULICA JANKA PUCLJA","2,5-sobno",1,1986,"66,70 ","197.000,00"
"KRANJ, ZLATO POLJE","1,5-sobno",1,1998,"39,00 ","149.000,00"
"KRANJ, ZLATO POLJE",2-sobno,1,1998,"39,00 ","149.000,00"
KRANJSKA GORA,Garsonjera,M,1975,"31,00 ","147.000,00"
KRANJSKA GORA,1-sobno,1,1980,"40,00 ","185.000,00"
KRANJSKA GORA,2-sobno,PK,1987,"43,60 ","250.000,00"
KRANJSKA GORA,2-sobno,2,2010,"47,00 ","250.000,00"
KRANJSKA GORA,2-sobno,P,1890,"55,10 ","330.000,00"
KRANJSKA GORA,3-sobno,1,1988,"67,00 ","475.000,00"
KRANJSKA GORA,2-sobno,1,1960,"70,00 ","369.000,00"
"KRANJSKA GORA, JASNA",3-sobno,P,1987,"60,00 ","310.000,00"
"KRANJSKA GORA, KOROŠKA CESTA 14A","1,5-sobno",1,1990,"45,00 ","205.000,00"
"KRANJSKA GORA, LOG",2-sobno,P,1993,"34,50 ","209.900,00"
"KROPA, RADOVLJICA",1-sobno,VP,1976,"30,00 ","99.800,00"
LESCE,1-sobno,4,1979,"32,60 ","109.000,00"
LESCE,3-sobno,1,2002,"65,00 ","200.000,00"
MOŠNJE,2-sobno,P,2018,"50,10 ","195.000,00"
MOŠNJE,2-sobno,P,2018,"50,10 ","195.000,00"
MOŠNJE,2-sobno,P,2018,"50,10 ","195.000,00"
"MOŠNJE, ČUDOVITO ATRIJSKO STANOVANJE, DVE LASTNIŠKI PARKIRNI...","2,5-sobno",P,2018,"50,10 ","195.000,00"
"PODKOREN, KRANJSKA GORA",2-sobno,1,1732,"33,00 ","120.000,00"
RADOVLJICA,Garsonjera,P,2021,"40,40 ","153.880,00"
RADOVLJICA,Garsonjera,1,2021,"43,70 ","161.000,00"
RADOVLJICA,2-sobno,4,1987,"55,61 ","145.000,00"
RADOVLJICA,3-sobno,3,1964,"80,00 ","219.000,00"
RADOVLJICA,3-sobno,P,1961,"81,70 ","210.000,00"
"BLED, RIBNO","3,5-sobno",1,1997,"91,54 ","267.000,00"
KRANJ,4-sobno,3,2021,"126,00 ","342.640,00"
RADOVLJICA,2-sobno,2,2021,"72,10 ","235.900,00"
BEGUNJE NA GORENJSKEM,3-sobno,1,1900,"76,10 ","68.000,00"
BEGUNJE NA GORENJSKEM,3-sobno,1,1900,"76,10 ","68.000,00"
"BEGUNJE NA GORENJSKEM, PROSTORNO 3 - SOBNO STANOVANJE, MIRNI...",3-sobno,1,1996,"107,30 ","250.000,00"
BLED,1-sobno,P,2007,"41,70 ","214.000,00"
BLED,"1,5-sobno",M,1982,"46,00 ","159.000,00 &euro;<span class=""cena-old"">169.000,00"
BLED,2-sobno,2,1974,"50,61 ","220.000,00"
BLED,"2,5-sobno",VP,2010,"71,00 ","205.000,00"
BLED,3-sobno,VP,1974,"82,00 ","280.000,00"
BLED,3-sobno,1,1985,"87,30 ","268.000,00"
BLED,4-sobno,M,1955,"107,30 ","270.000,00"
"BLED, V NASELJU",3-sobno,P,1974,"82,00 ","280.000,00"
BOHINJSKA BISTRICA,"2,5-sobno",1,2007,"81,10 ","315.000,00"
BOHINJSKA BISTRICA,3-sobno,1,2007,"81,10 ","315.000,00"
BOHINJSKA BISTRICA,3-sobno,1,2007,"100,00 ","215.000,00"
BOHINJSKA BISTRICA,3-sobno,2,2007,"100,00 ","215.000,00"
"BREG OB SAVI, DRULOVKA",2-sobno,2,1989,"73,00 ","219.000,00"
BRITOF,4-sobno,1,1984,"177,00 ","169.000,00"
"BLED, RIBNO","3,5-sobno",1,1997,"91,54 ","267.000,00"
KRANJ,4-sobno,3,2021,"126,00 ","342.640,00"
RADOVLJICA,2-sobno,2,2021,"72,10 ","235.900,00"
BEGUNJE NA GORENJSKEM,3-sobno,1,1900,"76,10 ","68.000,00"
BEGUNJE NA GORENJSKEM,3-sobno,1,1900,"76,10 ","68.000,00"
"BEGUNJE NA GORENJSKEM, PROSTORNO 3 - SOBNO STANOVANJE, MIRNI...",3-sobno,1,1996,"107,30 ","250.000,00"
BLED,1-sobno,P,2007,"41,70 ","214.000,00"
BLED,"1,5-sobno",M,1982,"46,00 ","159.000,00 &euro;<span class=""cena-old"">169.000,00"
BLED,2-sobno,2,1974,"50,61 ","220.000,00"
BLED,"2,5-sobno",VP,2010,"71,00 ","205.000,00"
BLED,3-sobno,VP,1974,"82,00 ","280.000,00"
BLED,3-sobno,1,1985,"87,30 ","268.000,00"
BLED,4-sobno,M,1955,"107,30 ","270.000,00"
"BLED, V NASELJU",3-sobno,P,1974,"82,00 ","280.000,00"
BOHINJSKA BISTRICA,"2,5-sobno",1,2007,"81,10 ","315.000,00"
BOHINJSKA BISTRICA,3-sobno,1,2007,"81,10 ","315.000,00"
BOHINJSKA BISTRICA,3-sobno,1,2007,"100,00 ","215.000,00"
BOHINJSKA BISTRICA,3-sobno,2,2007,"100,00 ","215.000,00"
"BREG OB SAVI, DRULOVKA",2-sobno,2,1989,"73,00 ","219.000,00"
BRITOF,4-sobno,1,1984,"177,00 ","169.000,00"
HRASTJE,Drugo,2,1879,"76,00 ","165.000,00"
HRUŠICA,2-sobno,2,1987,"79,25 ","129.000,00"
HRUŠICA,3-sobno,2,1987,"79,25 ","129.000,00"
JESENICE,"1,5-sobno",10,1988,"38,00 ","75.000,00"
JESENICE,3-sobno,3,1960,"94,68 ","120.000,00"
"JESENICE, C. 1 MAJA",3-sobno,P,1929,"83,15 ","105.000,00"
"JESENICE, CENTER",3-sobno,3,1960,"98,50 ","109.000,00"
"JESENICE, CESTA CIRILA TAVČARJA",2-sobno,12,1977,"60,00 ","120.000,00"
"JESENICE, PLAVŽ",2-sobno,1,1972,"56,00 ","114.000,00"
"JESENICE, TITOVA",3-sobno,3,2006,"98,50 ","109.000,00"
KOKRICA,2-sobno,P,1963,"55,00 ","160.000,00"
"KOKRICA, KRANJ, CESTA NA BELO",2-sobno,P,1963,"55,00 ","160.000,00"
KOROŠKA BELA,3-sobno,1,1928,"112,00 ","119.000,00"
KRANJ,2-sobno,P,1960,"42,60 ","172.000,00"
KRANJ,2-sobno,P,1950,"43,30 ","139.000,00"
KRANJ,1-sobno,2,1989,"52,40 ","143.000,00"
KRANJ,2-sobno,P,1903,"62,50 ","92.000,00"
KRANJ,3-sobno,PK,1943,"64,40 ","148.700,00"
KRANJ,3-sobno,2,2008,"65,00 ","240.000,00"
KRANJ,2-sobno,P,1979,"65,80 ","198.800,00"
KRANJ,2-sobno,P,1979,"65,80 ","198.800,00"
KRANJ,3-sobno,1,2004,"68,40 ","245.000,00"
KRANJ,2-sobno,VP,1965,"68,76 ","195.000,00"
KRANJ,3-sobno,1,1935,"73,00 ","155.000,00"
KRANJ,3-sobno,2,1964,"81,50 ","231.000,00"
KRANJ,3-sobno,2,1700,"85,13 ","112.000,00"
KRANJ,3-sobno,3,2009,"91,70 ","242.000,00"
KRANJ,4-sobno,M,2021,"92,20 ","159.990,00"
KRANJ,4-sobno,M,2021,"92,40 ","159.900,00"
KRANJ,3-sobno,4,1985,"94,00 ","230.000,00"
KRANJ,5 in večsobno,P,1987,"105,70 ","362.000,00"
KRANJ,4-sobno,3,1982,"106,80 ","289.000,00"
KRANJ,4-sobno,4,2008,"128,70 ","450.000,00"
KRANJ,4-sobno,3,2021,"141,60 ","345.960,00"
KRANJ,3-sobno,M,1936,"146,50 ","149.000,00"
KRANJ,4-sobno,4,2008,"227,70 ","450.000,00"
"KRANJ, CENTER",2-sobno,P,1900,"47,00 ","118.000,00"
"KRANJ, CENTER","2,5-sobno",P,1938,"55,10 ","135.000,00"
"KRANJ, CENTER MESTA","2,5-sobno",1,1800,"60,00 ","155.000,00"
"KRANJ, DRULOVKA",3-sobno,1,2004,"85,70 ","245.000,00"
"KRANJ, DRULOVKA",3-sobno,1,2004,"85,70 ","245.000,00"
"KRANJ, GOLNIK",3-sobno,1,1955,"52,20 ","186.000,00"
"KRANJ, HUJE",2-sobno,VP,1903,"68,50 ","92.000,00"
"KRANJ, LEVSTIKOVA ULICA","4,5-sobno",3,2010,"227,73 ","445.000,00"
"KRANJ, OKOLICA",5 in večsobno,1,1910,"168,50 ","199.000,00"
"KRANJ, OREHEK",1-sobno,P,1938,"44,40 ","89.000,00"
"KRANJ, PLANINA",2-sobno,1,1979,"61,00 ","222.000,00"
"KRANJ, PLANINA",2-sobno,P,1979,"65,80 ","198.800,00"
"KRANJ, PLANINA",3-sobno,7,1977,"93,00 ","265.000,00"
"KRANJ, PLANINA 1",1-sobno,2,1979,"35,80 ","131.000,00"
"KRANJ, PLANINA 1",3-sobno,VP,1975,"80,60 ","197.000,00"
"KRANJ, PLANINA I.",2-sobno,1,1978,"61,00 ","222.000,00"
"KRANJ, PLANINA II",1-sobno,3,1981,"35,00 ","125.000,00"
"KRANJ, PLANINA II",2-sobno,2,1982,"74,93 ","199.000,00"
"KRANJ, PRITLIČNO 2, 5 SS, 53 M2, PRILAGOJEN DOSTOP ZA GIBALN...","2,5-sobno",P,1964,"53,00 ","130.000,00"
"KRANJ, SAVSKA CESTA",2-sobno,1,1927,"41,90 ","109.990,00"
"KRANJ, SOTOČJE",3-sobno,P,2009,"87,40 ","260.000,00"
"KRANJ, SOTOČJE",3-sobno,1,2009,"91,66 ","276.000,00"
"KRANJ, STRAŽIŠČE",2-sobno,P,1964,"53,00 ","133.000,00"
"KRANJ, ULICA JANKA PUCLJA","2,5-sobno",1,1986,"66,70 ","197.000,00"
"KRANJ, ZLATO POLJE","1,5-sobno",1,1998,"39,00 ","149.000,00"
"KRANJ, ZLATO POLJE",2-sobno,1,1998,"39,00 ","149.000,00"
KRANJSKA GORA,Garsonjera,M,1975,"31,00 ","147.000,00"
KRANJSKA GORA,1-sobno,1,1980,"40,00 ","185.000,00"
KRANJSKA GORA,2-sobno,PK,1987,"43,60 ","250.000,00"
KRANJSKA GORA,2-sobno,2,2010,"47,00 ","250.000,00"
KRANJSKA GORA,2-sobno,P,1890,"55,10 ","330.000,00"
KRANJSKA GORA,3-sobno,1,1988,"67,00 ","475.000,00"
KRANJSKA GORA,2-sobno,1,1960,"70,00 ","369.000,00"
"KRANJSKA GORA, JASNA",3-sobno,P,1987,"60,00 ","310.000,00"
"KRANJSKA GORA, KOROŠKA CESTA 14A","1,5-sobno",1,1990,"45,00 ","205.000,00"
"KRANJSKA GORA, LOG",2-sobno,P,1993,"34,50 ","209.900,00"
"KROPA, RADOVLJICA",1-sobno,VP,1976,"30,00 ","99.800,00"
LESCE,1-sobno,4,1979,"32,60 ","109.000,00"
LESCE,3-sobno,1,2002,"65,00 ","200.000,00"
MOŠNJE,2-sobno,P,2018,"50,10 ","195.000,00"
MOŠNJE,2-sobno,P,2018,"50,10 ","195.000,00"
MOŠNJE,2-sobno,P,2018,"50,10 ","195.000,00"
"MOŠNJE, ČUDOVITO ATRIJSKO STANOVANJE, DVE LASTNIŠKI PARKIRNI...","2,5-sobno",P,2018,"50,10 ","195.000,00"
"PODKOREN, KRANJSKA GORA",2-sobno,1,1732,"33,00 ","120.000,00"
RADOVLJICA,Garsonjera,P,2021,"40,40 ","153.880,00"
RADOVLJICA,Garsonjera,1,2021,"43,70 ","161.000,00"
RADOVLJICA,2-sobno,4,1987,"55,61 ","145.000,00"
RADOVLJICA,3-sobno,3,1964,"80,00 ","219.000,00"
RADOVLJICA,3-sobno,P,1961,"81,70 ","210.000,00"
RADOVLJICA,3-sobno,P,2019,"88,10 ","269.000,00"
RADOVLJICA,4-sobno,3,2013,"124,40 ","397.000,00"
RADOVLJICA,3-sobno,P,1985,"126,00 ","250.000,00"
RADOVLJICA,3-sobno,P,2021,"128,10 ","372.000,00"
"RADOVLJICA, VURNIKOV TRG",2-sobno,1,2013,"61,00 ","240.000,00"
RIBČEV LAZ,2-sobno,2,2010,"73,00 ","295.000,00"
SLOVENSKI JAVORNIK,1-sobno,P,1930,"30,00 ","69.000,00"
SPODNJE JEZERSKO,4-sobno,1,1959,"88,80 ","86.000,00"
STARA FUŽINA,4-sobno,2K,2021,"99,00 ","350.000,00"
"STARA LOKA, PODLUBNIK",Garsonjera,13,1978,"17,50 ","80.000,00"
ŠKOFJA LOKA,"2,5-sobno",1,1961,"56,30 ","149.000,00"
ŠKOFJA LOKA,2-sobno,5,1972,"60,90 ","169.000,00"
ŠKOFJA LOKA,2-sobno,M,1840,"70,00 ","135.000,00"
ŠKOFJA LOKA,"3,5-sobno",2,1970,"87,70 ","297.300,00"
ŠKOFJA LOKA,3-sobno,M,1511,"99,20 ","242.000,00"
ŠKOFJA LOKA,3-sobno,3,1511,"115,00 ","264.000,00"
ŠKOFJA LOKA,4-sobno,3,1840,"176,80 ","238.000,00"
"ŠKOFJA LOKA, TAVČARJEVA ULICA",3-sobno,1,1995,"69,00 ","198.000,00"
TRATA,1-sobno,1,1935,"32,30 ","115.000,00"
TRŽIČ,Garsonjera,P,1850,"22,30 ","39.000,00"
